Portfolio,Geography,Category,Brand,Segment,Year_1_Sales,Year_1_Margin
Hair/Body,North America,Hair,Brand A,Body Wash,7411.188757568613,1194.4304774222855
Hair/Body,North America,Hair,Brand A,Conditioner,3950.516147852965,630.1966978609217
Hair/Body,North America,Hair,Brand B,Soap,8131.637961436152,2249.1395006886787
Hair/Body,North America,Hair,Brand B,Lotion,7401.182740512837,941.8137197358831
Hair/Body,North America,Hair,Brand C,Cream,8551.855388028482,1436.3012721476434
Hair/Body,North America,Hair,Brand C,Body Wash,6633.310917278651,874.0844474104302
Hair/Body,North America,Hair,Brand D,Lotion,1893.3858930828542,105.45440941328054
Hair/Body,North America,Hair,Brand D,Shampoo,3655.724926893118,864.5146440582707
Hair/Body,North America,Hair,Brand E,Shampoo,8509.1269276585,1536.309283448851
Hair/Body,North America,Hair,Brand E,Body Wash,1560.4249604479912,254.4861542969612
Hair/Body,North America,Body,Brand A,Lotion,9460.977881997542,2087.595568875546
Hair/Body,North America,Body,Brand A,Conditioner,10915.963720537606,584.8220261172313
Hair/Body,North America,Body,Brand B,Soap,8801.80518169153,432.2599303325455
Hair/Body,North America,Body,Brand B,Cream,7846.752317967731,555.6746439889283
Hair/Body,North America,Body,Brand C,Soap,4365.209013569551,946.6637606873742
Hair/Body,North America,Body,Brand C,Shampoo,1691.0638652884277,236.59141874961566
Hair/Body,North America,Body,Brand D,Soap,6625.121541698633,776.9711813685155
Hair/Body,North America,Body,Brand D,Perfume,8562.782233814316,999.0136804634849
Hair/Body,North America,Body,Brand E,Conditioner,6313.317885654005,855.7958235509489
Hair/Body,North America,Body,Brand E,Lotion,10991.82270270225,541.2097035427831
Hair/Body,North America,Fragrance,Brand A,Body Wash,5710.749062510233,913.6236280146983
Hair/Body,North America,Fragrance,Brand A,Deodorant,5430.1980914186015,646.1986393383622
Hair/Body,North America,Fragrance,Brand B,Conditioner,3254.557724243457,654.4208094953972
Hair/Body,North America,Fragrance,Brand B,Perfume,6758.635720943675,1179.1428974828873
Hair/Body,North America,Fragrance,Brand C,Perfume,1683.99661310978,163.39483491403126
Hair/Body,North America,Fragrance,Brand C,Lotion,2941.1883950544043,332.8616960146363
Hair/Body,North America,Fragrance,Brand D,Lotion,6477.632368613014,317.9574768092048
Hair/Body,North America,Fragrance,Brand D,Perfume,5068.488639155594,405.55365974961603
Hair/Body,North America,Fragrance,Brand E,Deodorant,11679.354454579969,680.792148114745
Hair/Body,North America,Fragrance,Brand E,Perfume,1925.5450106206192,250.60980832963062
Hair/Body,North America,Skincare,Brand A,Cream,9062.314988364902,665.1172334282952
Hair/Body,North America,Skincare,Brand A,Lotion,3752.0373874048637,826.967997417002
Hair/Body,North America,Skincare,Brand B,Perfume,4000.4805496956337,351.656410949997
Hair/Body,North America,Skincare,Brand B,Soap,5421.899631412898,463.3088498546756
Hair/Body,North America,Skincare,Brand C,Soap,3489.095063023807,185.69096123489578
Hair/Body,North America,Skincare,Brand C,Deodorant,6469.703558806163,683.9215482726153
Hair/Body,North America,Skincare,Brand D,Perfume,9628.113462483347,233.02424281267483
Hair/Body,North America,Skincare,Brand D,Cream,5984.37400434174,720.158975563788
Hair/Body,North America,Skincare,Brand E,Perfume,3742.083672361163,557.6596630778257
Hair/Body,North America,Skincare,Brand E,Body Wash,11424.402384188212,3005.007045976523
Hair/Body,Europe,Hair,Brand A,Perfume,3469.951810225983,387.92916038153595
Hair/Body,Europe,Hair,Brand A,Body Wash,3462.340154722425,184.22293975085492
Hair/Body,Europe,Hair,Brand B,Lotion,9479.371557156683,962.1243964636976
Hair/Body,Europe,Hair,Brand B,Cream,9190.614169977604,826.2577358226664
Hair/Body,Europe,Hair,Brand C,Conditioner,8842.369492227228,266.4588254549333
Hair/Body,Europe,Hair,Brand C,Cream,4941.826136039762,148.49626763672373
Hair/Body,Europe,Hair,Brand D,Lotion,5908.187519994329,670.6016616739962
Hair/Body,Europe,Hair,Brand D,Deodorant,8971.793207518765,805.1939051612989
Hair/Body,Europe,Hair,Brand E,Shampoo,5974.450292894168,979.1804171617899
Hair/Body,Europe,Hair,Brand E,Body Wash,3192.235623532577,826.9836697724788
Hair/Body,Europe,Body,Brand A,Cream,9727.272206950787,390.9411794242147
Hair/Body,Europe,Body,Brand A,Body Wash,1623.4117773461378,428.7944322137033
Hair/Body,Europe,Body,Brand B,Soap,3029.982977548686,349.34655795413437
