Portfolio,Geography,Category,Brand,Segment,Sales,Margin,Min_Trend,Max_Trend,Min_Contribution,Max_Contribution,Potential_Max_Sales,Potential_Max_Margin,Adjusted_Sales,Potential_Margin,Additional_Sales
Hair/Body,North America,Hair,Brand A,Cream,7023,58,-0.0444675765996035,0.2886559098335881,0.0719553639971269,0.4750249474199559,9050.23045476129,2493.4694426286496,36036.33967324665,9928.533007925162,26986.10921848536
Hair/Body,North America,Hair,Brand A,Shampoo,7601,55,-0.0739975214438845,0.1193716952029627,0.0873129189617843,0.2949868463515149,8508.344255237718,1380.417301739082,19668.26682948898,3191.034002877085,11159.92257425126
Hair/Body,North America,Hair,Brand B,Shampoo,5792,12,-0.0107720989548782,0.2332069552405767,0.0696869372285672,0.4683948330152318,7142.73468475342,401.4744023924619,28944.98487343233,1626.9217627703697,21802.25018867891
Hair/Body,North America,Hair,Brand B,Body Wash,9678,35,-0.0344836012795229,0.2156043571897285,0.0649653160632999,0.2493539911681351,11764.618968882194,1026.7441430620938,31921.222498869305,2785.889481570696,20156.60352998711
Hair/Body,North America,Hair,Brand C,Cream,1112,21,-0.1289634373495581,0.2327311036671431,0.0905030204733913,0.203140257186773,1370.796987277863,58.47745103476053,23128.560359318,986.6517569478489,21757.763372040135
Hair/Body,North America,Hair,Brand C,Soap,6998,43,-0.0292173167467731,0.2921738603360605,0.0896582970220388,0.4977211517986777,9042.632674631752,1935.3051065473314,36357.63104192989,7781.263659510102,27314.998367298136
Hair/Body,North America,Hair,Brand D,Deodorant,3973,58,-0.0110470247935551,0.295460335186857,0.0554222426491654,0.2175039311878664,5146.863911697383,649.2886177682215,32769.11103519985,4133.898073578844,27622.247123502464
Hair/Body,North America,Hair,Brand D,Lotion,1465,16,-0.0157435812361307,0.2015152469668975,0.0560947006992321,0.3912050301246502,1760.2198368065049,110.1770966854233,20599.64864660933,1289.389787096642,18839.428809802826
Hair/Body,North America,Hair,Brand E,Body Wash,9787,42,-0.0993533631111045,0.2527649800564374,0.072855193189555,0.4574944265519197,12260.810859812353,2355.886106015989,35891.518307803715,6896.471226248683,23630.70744799136
Hair/Body,North America,Hair,Brand E,Conditioner,2577,34,-0.0830101855688755,0.251150921457569,0.0819769663156136,0.4912363681190701,3224.215924596155,538.5097210822969,26704.0268894384,4460.116322329381,23479.810964842243
Hair/Body,North America,Body,Brand A,Cream,4086,11,-0.1391341255733572,0.2439030329180676,0.0735598086171062,0.4570790405626826,5082.587792503225,255.54587869502743,27884.801988780593,1402.0114393243439,22802.214196277368
Hair/Body,North America,Body,Brand A,Lotion,1415,12,-0.0778605144038693,0.1556976411069625,0.0972700085564571,0.2435622593348006,1635.312162166352,47.79603899218974,16191.30566458699,473.2309187096594,14555.993502420637
