Portfolio,Geography,Category,Brand,Segment,Year_4_Sales,Year_4_Margin
Hair/Body,North America,Hair,Brand A,Body Wash,8212.267581573158,1035.9593827317847
Hair/Body,North America,Hair,Brand A,Conditioner,4679.695235588515,494.70912205993477
Hair/Body,North America,Hair,Brand B,Soap,11289.620433930306,1669.2922895852091
Hair/Body,North America,Hair,Brand B,Lotion,6761.817544839477,545.7831967436058
Hair/Body,North America,Hair,Brand C,Cream,9974.13501612989,952.9929283484126
Hair/Body,North America,Hair,Brand C,Body Wash,10266.983872207857,1228.7758434497434
Hair/Body,North America,Hair,Brand D,Lotion,2686.494773622052,83.44087551454942
Hair/Body,North America,Hair,Brand D,Shampoo,5514.071023520975,1276.5804025509417
Hair/Body,North America,Hair,Brand E,Shampoo,11353.024300093213,1878.3490881130137
Hair/Body,North America,Hair,Brand E,Body Wash,2461.174074966785,169.62177745599516
Hair/Body,North America,Body,Brand A,Lotion,14642.453529136272,987.6513194250234
Hair/Body,North America,Body,Brand A,Conditioner,10560.506632758192,337.21494035425525
Hair/Body,North America,Body,Brand B,Soap,9930.943251965118,179.09364731798007
Hair/Body,North America,Body,Brand B,Cream,9264.640914143049,245.28818631530896
Hair/Body,North America,Body,Brand C,Soap,4617.771081779399,520.2127698958726
Hair/Body,North America,Body,Brand C,Shampoo,1531.7089234077196,156.0414037273614
Hair/Body,North America,Body,Brand D,Soap,10107.609688889957,1048.3380684582219
Hair/Body,North America,Body,Brand D,Perfume,8826.987957822857,1024.9053081409688
Hair/Body,North America,Body,Brand E,Conditioner,8360.071381834032,1054.489296049999
Hair/Body,North America,Body,Brand E,Lotion,12989.880229112296,164.777912385948
Hair/Body,North America,Fragrance,Brand A,Body Wash,5421.410277339512,559.6069395569353
Hair/Body,North America,Fragrance,Brand A,Deodorant,7289.270587930176,461.98380867890614
Hair/Body,North America,Fragrance,Brand B,Conditioner,4467.634260799721,734.4776474659146
Hair/Body,North America,Fragrance,Brand B,Perfume,8600.307705419924,659.9086216064385
Hair/Body,North America,Fragrance,Brand C,Perfume,2100.1058513448484,120.47130143877705
Hair/Body,North America,Fragrance,Brand C,Lotion,3822.56052146215,343.37489630081654
Hair/Body,North America,Fragrance,Brand D,Lotion,7598.7294378804945,307.5897752124119
Hair/Body,North America,Fragrance,Brand D,Perfume,5456.4904516428705,264.60518618767065
Hair/Body,North America,Fragrance,Brand E,Deodorant,11268.852782042017,544.1320761712773
Hair/Body,North America,Fragrance,Brand E,Perfume,2239.5041900542174,236.66931108366768
Hair/Body,North America,Skincare,Brand A,Cream,12513.706191537583,638.8534405681797
Hair/Body,North America,Skincare,Brand A,Lotion,5378.308815950019,696.8322336764071
Hair/Body,North America,Skincare,Brand B,Perfume,3911.7237045323186,175.52281159880351
Hair/Body,North America,Skincare,Brand B,Soap,6242.657214161951,481.8125441888672
Hair/Body,North America,Skincare,Brand C,Soap,2498.197944310888,65.35559542688281
Hair/Body,North America,Skincare,Brand C,Deodorant,6769.203669486933,646.7324730010605
Hair/Body,North America,Skincare,Brand D,Perfume,9716.283439206341,195.37904731234553
Hair/Body,North America,Skincare,Brand D,Cream,5424.537144251864,329.1928490954443
Hair/Body,North America,Skincare,Brand E,Perfume,5616.235469821001,678.6690774043843
Hair/Body,North America,Skincare,Brand E,Body Wash,11208.977171979512,2842.075605820946
Hair/Body,Europe,Hair,Brand A,Perfume,4234.255912496759,221.96386891833018
Hair/Body,Europe,Hair,Brand A,Body Wash,5875.259543460263,308.67450861697415
Hair/Body,Europe,Hair,Brand B,Lotion,12069.291021771229,554.1813399591573
Hair/Body,Europe,Hair,Brand B,Cream,14433.47286263055,961.4222339556123
Hair/Body,Europe,Hair,Brand C,Conditioner,8610.6384948465,94.83597467320841
Hair/Body,Europe,Hair,Brand C,Cream,6624.794433984192,116.91931482829966
Hair/Body,Europe,Hair,Brand D,Lotion,9211.585567913515,952.0658298581744
Hair/Body,Europe,Hair,Brand D,Deodorant,10366.80263075872,428.6521339870048
Hair/Body,Europe,Hair,Brand E,Shampoo,8838.846817662237,1446.3586883541827
Hair/Body,Europe,Hair,Brand E,Body Wash,4702.416275959236,331.1385263710951
Hair/Body,Europe,Body,Brand A,Cream,9225.661128618349,115.58696183772446
Hair/Body,Europe,Body,Brand A,Body Wash,1998.0030466911671,369.33796243941174
Hair/Body,Europe,Body,Brand B,Soap,4058.5494528489194,360.57481958975256
Hair/Body,Europe,Body,Brand B,Perfume,14219.757368470311,1335.4245629233988
Hair/Body,Europe,Body,Brand C,Shampoo,7644.694731468188,746.5918810414908
Hair/Body,Europe,Body,Brand C,Soap,12549.976959936654,264.10336972548555
Hair/Body,Europe,Body,Brand D,Cream,6954.671847173456,1250.4742141571878
Hair/Body,Europe,Body,Brand D,Conditioner,3411.2693052135915,555.4151168906367
Hair/Body,Europe,Body,Brand E,Cream,7788.733596123255,854.724370332556
Hair/Body,Europe,Body,Brand E,Shampoo,11700.749099889494,711.5163546273176
Hair/Body,Europe,Fragrance,Brand A,Shampoo,6970.303099766213,483.5121368813191
Hair/Body,Europe,Fragrance,Brand A,Cream,7218.893688887989,378.2696241867457
Hair/Body,Europe,Fragrance,Brand B,Cream,4495.827296963821,407.93561771231305
Hair/Body,Europe,Fragrance,Brand B,Body Wash,7630.7537154401025,147.00408123891864
Hair/Body,Europe,Fragrance,Brand C,Soap,7900.189234571013,522.8919306281539
Hair/Body,Europe,Fragrance,Brand C,Cream,7427.124180644232,480.63443647304285
Hair/Body,Europe,Fragrance,Brand D,Lotion,8924.372088684711,401.49493922891014
Hair/Body,Europe,Fragrance,Brand D,Perfume,13023.039840655363,417.00958952416545
Hair/Body,Europe,Fragrance,Brand E,Lotion,4802.40793092337,45.093713910418124
Hair/Body,Europe,Fragrance,Brand E,Perfume,9272.312832714399,398.12739379499266
Hair/Body,Europe,Skincare,Brand A,Soap,6783.935176147697,927.8098006387252
Hair/Body,Europe,Skincare,Brand A,Lotion,13592.98993711291,1102.0974472948058
Hair/Body,Europe,Skincare,Brand B,Deodorant,5107.52228873804,186.91030091697283
Hair/Body,Europe,Skincare,Brand B,Shampoo,13373.664153657919,898.4813611750202
Hair/Body,Europe,Skincare,Brand C,Lotion,7154.932697768476,1385.4050505888215
Hair/Body,Europe,Skincare,Brand C,Shampoo,5796.037299811978,750.3029581306597
Hair/Body,Europe,Skincare,Brand D,Cream,3423.2222659842428,150.05942057050896
Hair/Body,Europe,Skincare,Brand D,Shampoo,8130.36173601406,677.6981742366248
Hair/Body,Europe,Skincare,Brand E,Shampoo,9752.870805629602,741.7192560974125
Hair/Body,Europe,Skincare,Brand E,Deodorant,3195.470915978322,125.93277324716593
Hair/Body,Asia,Hair,Brand A,Shampoo,4165.596581080204,318.92793693013766
Hair/Body,Asia,Hair,Brand A,Cream,13153.55017465031,1078.8394339672261
Hair/Body,Asia,Hair,Brand B,Shampoo,3830.1687195098925,229.58581347236196
Hair/Body,Asia,Hair,Brand B,Soap,4269.727277313873,321.0889589273764
Hair/Body,Asia,Hair,Brand C,Lotion,14006.190437646463,833.0576575128273
Hair/Body,Asia,Hair,Brand C,Shampoo,5484.308887026754,175.39236840509508
