Portfolio,Geography,Category,Brand,Segment,Year_5_Sales,Year_5_Margin
Hair/Body,North America,Hair,Brand A,Body Wash,8679.608096998123,623.4694466381916
Hair/Body,North America,Hair,Brand A,Conditioner,5318.795234982875,530.9044491640728
Hair/Body,North America,Hair,Brand B,Soap,12152.261839819064,813.6507778920442
Hair/Body,North America,Hair,Brand B,Lotion,7363.756608812427,282.71872744857967
Hair/Body,North America,Hair,Brand C,Cream,10785.771249464491,822.3974828690442
Hair/Body,North America,Hair,Brand C,Body Wash,10989.969551375743,375.3861218211919
Hair/Body,North America,Hair,Brand D,Lotion,3075.6263710326075,129.28177484885344
Hair/Body,North America,Hair,Brand D,Shampoo,5932.649746475461,288.32871584926505
Hair/Body,North America,Hair,Brand E,Shampoo,13278.708460587859,713.4548231385377
Hair/Body,North America,Hair,Brand E,Body Wash,2650.956581156929,330.57913140045247
Hair/Body,North America,Body,Brand A,Lotion,14398.982459342495,1236.9461479896383
Hair/Body,North America,Body,Brand A,Conditioner,12229.37207533404,165.99475105316196
Hair/Body,North America,Body,Brand B,Soap,10536.073521340191,418.17857055281627
Hair/Body,North America,Body,Brand B,Cream,10659.434958930206,289.41362515232544
Hair/Body,North America,Body,Brand C,Soap,4389.253835778182,596.4490552520438
Hair/Body,North America,Body,Brand C,Shampoo,1698.7634046646695,60.45860040285529
Hair/Body,North America,Body,Brand D,Soap,12516.799768337105,1114.960818388832
Hair/Body,North America,Body,Brand D,Perfume,8296.785733048118,329.91473100709055
Hair/Body,North America,Body,Brand E,Conditioner,8443.639947101537,1019.0114921206344
Hair/Body,North America,Body,Brand E,Lotion,13822.796327166285,398.0957255014501
Hair/Body,North America,Fragrance,Brand A,Body Wash,5538.774940701279,168.7658050685154
Hair/Body,North America,Fragrance,Brand A,Deodorant,8514.049994458996,256.0102607431978
Hair/Body,North America,Fragrance,Brand B,Conditioner,5294.495582429563,551.8031068693522
Hair/Body,North America,Fragrance,Brand B,Perfume,8443.94176615757,448.9339913062006
Hair/Body,North America,Fragrance,Brand C,Perfume,1986.2927039429105,57.07875711773566
Hair/Body,North America,Fragrance,Brand C,Lotion,3682.8914085746674,311.6551376108397
Hair/Body,North America,Fragrance,Brand D,Lotion,8141.835092958625,324.7616992364797
Hair/Body,North America,Fragrance,Brand D,Perfume,6052.802656559104,311.87070694934073
Hair/Body,North America,Fragrance,Brand E,Deodorant,12372.231616356883,635.9271261525747
Hair/Body,North America,Fragrance,Brand E,Perfume,2254.936371045362,110.51632162732105
Hair/Body,North America,Skincare,Brand A,Cream,14230.88700401155,598.085854917442
Hair/Body,North America,Skincare,Brand A,Lotion,4955.7344757958535,428.55111376847094
Hair/Body,North America,Skincare,Brand B,Perfume,4251.957546817106,177.23836473180643
Hair/Body,North America,Skincare,Brand B,Soap,5710.104117875968,367.2628406399152
Hair/Body,North America,Skincare,Brand C,Soap,2247.532907956634,62.927081638076515
Hair/Body,North America,Skincare,Brand C,Deodorant,6427.030896441971,401.7166578278531
Hair/Body,North America,Skincare,Brand D,Perfume,10044.891516859812,221.33579490282153
Hair/Body,North America,Skincare,Brand D,Cream,4954.43872709361,594.8900608660657
Hair/Body,North America,Skincare,Brand E,Perfume,7188.424826185645,858.2233206699267
Hair/Body,North America,Skincare,Brand E,Body Wash,11947.133281352159,1986.3555989215026
Hair/Body,Europe,Hair,Brand A,Perfume,4149.561933391148,392.538005725245
Hair/Body,Europe,Hair,Brand A,Body Wash,7275.907351961769,298.06050153794973
Hair/Body,Europe,Hair,Brand B,Lotion,14265.486454366766,1223.3674170372663
Hair/Body,Europe,Hair,Brand B,Cream,17363.40191530168,974.537390961564
Hair/Body,Europe,Hair,Brand C,Conditioner,8583.23081768138,251.38012653342582
Hair/Body,Europe,Hair,Brand C,Cream,6734.541550618179,65.23164146028432
Hair/Body,Europe,Hair,Brand D,Lotion,10815.721931915914,340.87523183321395
Hair/Body,Europe,Hair,Brand D,Deodorant,10230.136090416157,640.6425799268369
Hair/Body,Europe,Hair,Brand E,Shampoo,8405.833669916039,695.9587683576244
Hair/Body,Europe,Hair,Brand E,Body Wash,5506.348408784023,1350.1061217263925
Hair/Body,Europe,Body,Brand A,Cream,8328.893366186307,66.65310376366095
Hair/Body,Europe,Body,Brand A,Body Wash,2385.7245482801327,597.9608472028438
Hair/Body,Europe,Body,Brand B,Soap,4090.672109561313,308.1350877478951
Hair/Body,Europe,Body,Brand B,Perfume,15562.332926479063,1057.9644357749544
Hair/Body,Europe,Body,Brand C,Shampoo,7157.922810844485,602.9970601528049
Hair/Body,Europe,Body,Brand C,Soap,14241.642832034902,138.81800915837204
Hair/Body,Europe,Body,Brand D,Cream,6133.206199330803,721.6984049189455
Hair/Body,Europe,Body,Brand D,Conditioner,4137.5680765163615,174.16968778389406
Hair/Body,Europe,Body,Brand E,Cream,8116.774568012709,733.9264116496316
Hair/Body,Europe,Body,Brand E,Shampoo,12836.373324034486,364.6500417297501
Hair/Body,Europe,Fragrance,Brand A,Shampoo,7216.855546546995,311.4136024500346
Hair/Body,Europe,Fragrance,Brand A,Cream,7984.105480985272,803.372737215575
Hair/Body,Europe,Fragrance,Brand B,Cream,4643.164143529812,786.1262809531086
Hair/Body,Europe,Fragrance,Brand B,Body Wash,8032.969605699811,168.61678152039627
Hair/Body,Europe,Fragrance,Brand C,Soap,8208.102004212846,127.58271230136091
Hair/Body,Europe,Fragrance,Brand C,Cream,8880.722752467685,814.1596972097077
Hair/Body,Europe,Fragrance,Brand D,Lotion,8617.99866049029,288.04255457548624
Hair/Body,Europe,Fragrance,Brand D,Perfume,11595.865063577225,1421.9384181848654
Hair/Body,Europe,Fragrance,Brand E,Lotion,5360.035500907395,127.56397659151777
Hair/Body,Europe,Fragrance,Brand E,Perfume,10791.452747737882,379.10997255075
Hair/Body,Europe,Skincare,Brand A,Soap,7532.768278396594,270.1778858406167
Hair/Body,Europe,Skincare,Brand A,Lotion,15168.750307248542,2843.9679530742937
Hair/Body,Europe,Skincare,Brand B,Deodorant,4757.144543920704,135.06020697487273
Hair/Body,Europe,Skincare,Brand B,Shampoo,12621.886181636373,1253.6051360307015
Hair/Body,Europe,Skincare,Brand C,Lotion,7135.614466786577,1098.5403832152058
Hair/Body,Europe,Skincare,Brand C,Shampoo,6278.618624778409,336.34455529771645
Hair/Body,Europe,Skincare,Brand D,Cream,4005.710139184647,279.5816274172822
Hair/Body,Europe,Skincare,Brand D,Shampoo,8134.71936839299,224.34385377142704
Hair/Body,Europe,Skincare,Brand E,Shampoo,9103.68887755862,504.5722612810053
Hair/Body,Europe,Skincare,Brand E,Deodorant,3107.546738204158,372.33782809139495
Hair/Body,Asia,Hair,Brand A,Shampoo,4936.341413013119,156.7244025650176
Hair/Body,Asia,Hair,Brand A,Cream,14177.20979019178,1490.3654226557746
Hair/Body,Asia,Hair,Brand B,Shampoo,3599.8505119545034,308.6629798766662
Hair/Body,Asia,Hair,Brand B,Soap,5009.999800538754,308.64721413636755
Hair/Body,Asia,Hair,Brand C,Lotion,15440.80232150233,775.9215306371068
Hair/Body,Asia,Hair,Brand C,Shampoo,6178.021760135889,96.1332031299472
Hair/Body,Asia,Hair,Brand D,Soap,14629.350946438339,445.0793945386688
Hair/Body,Asia,Hair,Brand D,Conditioner,3886.1477747037898,341.5393614456957
Hair/Body,Asia,Hair,Brand E,Shampoo,5536.646792604081,970.3084666810671
Hair/Body,Asia,Hair,Brand E,Cream,5751.269194321199,284.00644776497785
Hair/Body,Asia,Body,Brand A,Body Wash,5973.298995435117,962.3417626961223
Hair/Body,Asia,Body,Brand A,Deodorant,7936.925077779419,369.6161423519571
Hair/Body,Asia,Body,Brand B,Perfume,6764.4199755452955,581.3146812615591
Hair/Body,Asia,Body,Brand B,Lotion,7511.4060263425245,219.43144635817336
Hair/Body,Asia,Body,Brand C,Deodorant,8956.899937629432,646.5495668019266
Hair/Body,Asia,Body,Brand C,Body Wash,12481.504340398986,2041.9155296451745
Hair/Body,Asia,Body,Brand D,Lotion,5166.860545844011,155.28969353417463
Hair/Body,Asia,Body,Brand D,Deodorant,5729.701155862271,100.9869138501349
Hair/Body,Asia,Body,Brand E,Shampoo,10584.888438187545,1647.4933493957233
Hair/Body,Asia,Body,Brand E,Deodorant,2435.912648330293,570.7449885630396
Hair/Body,Asia,Fragrance,Brand A,Shampoo,11704.150527017408,183.2246616681177
Hair/Body,Asia,Fragrance,Brand A,Lotion,3783.724791327311,39.60375119801343
Hair/Body,Asia,Fragrance,Brand B,Cream,2710.4176617379117,371.5895414307617
Hair/Body,Asia,Fragrance,Brand B,Lotion,10035.628054343819,876.0633856907624
Hair/Body,Asia,Fragrance,Brand C,Body Wash,10730.97812600256,287.16072892709843
Hair/Body,Asia,Fragrance,Brand C,Perfume,10397.807049158155,1584.87895955955
Hair/Body,Asia,Fragrance,Brand D,Deodorant,8867.073165421501,385.4228305093776
Hair/Body,Asia,Fragrance,Brand D,Conditioner,18200.974930199198,348.71678575253685
